date,category,region,sales,income
2025-01-01,mushrooms,krasnoyarsk,199,113173
2025-01-01,mushrooms,irkutsk,199,81054
2025-01-01,mushrooms,kansk,198,88668
2025-01-01,fruits,krasnoyarsk,205,60429
2025-01-01,fruits,irkutsk,198,59114
2025-01-01,fruits,kansk,201,66327
2025-01-01,vegetables,krasnoyarsk,199,31028
2025-01-01,vegetables,irkutsk,200,36596
2025-01-01,vegetables,kansk,197,41245
2025-01-01,greens,krasnoyarsk,199,24409
2025-01-01,greens,irkutsk,198,29808
2025-01-01,greens,kansk,199,29111
2025-01-01,flowers,krasnoyarsk,200,150126
2025-01-01,flowers,irkutsk,198,159752
2025-01-01,flowers,kansk,198,170543
2025-01-02,mushrooms,krasnoyarsk,200,109100
2025-01-02,mushrooms,irkutsk,197,106246
2025-01-02,mushrooms,kansk,202,79396
2025-01-02,fruits,krasnoyarsk,196,60373
2025-01-02,fruits,irkutsk,202,48918
2025-01-02,fruits,kansk,199,59023
2025-01-02,vegetables,krasnoyarsk,200,34520
2025-01-02,vegetables,irkutsk,200,39200
2025-01-02,vegetables,kansk,199,35109
2025-01-02,greens,krasnoyarsk,198,31830
2025-01-02,greens,irkutsk,201,26160
2025-01-02,greens,kansk,199,24745
2025-01-02,flowers,krasnoyarsk,199,148089
2025-01-02,flowers,irkutsk,205,167837
2025-01-02,flowers,kansk,195,187933
2025-01-03,mushrooms,krasnoyarsk,199,101935
2025-01-03,mushrooms,irkutsk,200,91242
2025-01-03,mushrooms,kansk,200,99188
2025-01-03,fruits,krasnoyarsk,200,64690
2025-01-03,fruits,irkutsk,199,60111
2025-01-03,fruits,kansk,195,64250
2025-01-03,vegetables,krasnoyarsk,195,37048
2025-01-03,vegetables,irkutsk,202,44904
2025-01-03,vegetables,kansk,201,38616
2025-01-03,greens,krasnoyarsk,202,26781
2025-01-03,greens,irkutsk,200,31692
2025-01-03,greens,kansk,199,29943
2025-01-03,flowers,krasnoyarsk,199,171132
2025-01-03,flowers,irkutsk,195,189586
2025-01-03,flowers,kansk,198,134428
2025-01-04,mushrooms,krasnoyarsk,200,86300
2025-01-04,mushrooms,irkutsk,200,109422
2025-01-04,mushrooms,kansk,198,95214
2025-01-04,fruits,krasnoyarsk,201,52292
2025-01-04,fruits,irkutsk,199,56313
2025-01-04,fruits,kansk,196,57059
2025-01-04,vegetables,krasnoyarsk,200,45040
2025-01-04,vegetables,irkutsk,200,41556
2025-01-04,vegetables,kansk,199,37467
2025-01-04,greens,krasnoyarsk,197,29534
2025-01-04,greens,irkutsk,197,32948
2025-01-04,greens,kansk,202,34158
2025-01-04,flowers,krasnoyarsk,199,165872
2025-01-04,flowers,irkutsk,197,137578
2025-01-04,flowers,kansk,201,190389
2025-01-05,mushrooms,krasnoyarsk,200,87904
2025-01-05,mushrooms,irkutsk,198,84199
2025-01-05,mushrooms,kansk,197,112362
2025-01-05,fruits,krasnoyarsk,200,58860
2025-01-05,fruits,irkutsk,200,63176
2025-01-05,fruits,kansk,202,64601
2025-01-05,vegetables,krasnoyarsk,203,38139
2025-01-05,vegetables,irkutsk,196,34096
2025-01-05,vegetables,kansk,198,37041
2025-01-05,greens,krasnoyarsk,202,29172
2025-01-05,greens,irkutsk,202,30289
2025-01-05,greens,kansk,202,27304
2025-01-05,flowers,krasnoyarsk,199,162306
2025-01-05,flowers,irkutsk,200,187730
2025-01-05,flowers,kansk,197,151398
2025-01-06,mushrooms,krasnoyarsk,201,108023
2025-01-06,mushrooms,irkutsk,197,94035
2025-01-06,mushrooms,kansk,201,110525
2025-01-06,fruits,krasnoyarsk,200,54054
2025-01-06,fruits,irkutsk,206,57243
2025-01-06,fruits,kansk,197,59430
2025-01-06,vegetables,krasnoyarsk,197,41555
2025-01-06,vegetables,irkutsk,201,38278
2025-01-06,vegetables,kansk,199,44950
2025-01-06,greens,krasnoyarsk,196,26420
2025-01-06,greens,irkutsk,201,28909
2025-01-06,greens,kansk,199,27969
2025-01-06,flowers,krasnoyarsk,201,152279
2025-01-06,flowers,irkutsk,201,158108
2025-01-06,flowers,kansk,200,184232
2025-01-07,mushrooms,krasnoyarsk,198,82449
2025-01-07,mushrooms,irkutsk,197,92150
2025-01-07,mushrooms,kansk,202,97458
