date,station,hour,passengers
2024-01-01,Центральная,0,257
2024-01-01,Центральная,1,257
2024-01-01,Центральная,2,258
2024-01-01,Центральная,3,275
2024-01-01,Центральная,4,258
2024-01-01,Центральная,5,229
2024-01-01,Центральная,6,267
2024-01-01,Центральная,7,2412
2024-01-01,Центральная,8,2422
2024-01-01,Центральная,9,2487
2024-01-01,Центральная,10,2510
2024-01-01,Центральная,11,1188
2024-01-01,Центральная,12,1144
2024-01-01,Центральная,13,1097
2024-01-01,Центральная,14,1023
2024-01-01,Центральная,15,999
2024-01-01,Центральная,16,1108
2024-01-01,Центральная,17,2883
2024-01-01,Центральная,18,2618
2024-01-01,Центральная,19,2587
2024-01-01,Центральная,20,2721
2024-01-01,Центральная,21,576
2024-01-01,Центральная,22,636
2024-01-01,Центральная,23,678
2024-01-01,Восточная,0,173
2024-01-01,Восточная,1,158
2024-01-01,Восточная,2,166
2024-01-01,Восточная,3,165
2024-01-01,Восточная,4,172
2024-01-01,Восточная,5,147
2024-01-01,Восточная,6,169
2024-01-01,Восточная,7,1186
2024-01-01,Восточная,8,1067
2024-01-01,Восточная,9,1284
2024-01-01,Восточная,10,1251
2024-01-01,Восточная,11,722
2024-01-01,Восточная,12,710
2024-01-01,Восточная,13,609
2024-01-01,Восточная,14,720
2024-01-01,Восточная,15,620
2024-01-01,Восточная,16,670
2024-01-01,Восточная,17,1142
2024-01-01,Восточная,18,1180
2024-01-01,Восточная,19,1246
2024-01-01,Восточная,20,1229
2024-01-01,Восточная,21,416
2024-01-01,Восточная,22,426
2024-01-01,Восточная,23,420
2024-01-01,Западная,0,129
2024-01-01,Западная,1,128
2024-01-01,Западная,2,131
2024-01-01,Западная,3,142
2024-01-01,Западная,4,134
2024-01-01,Западная,5,162
2024-01-01,Западная,6,127
2024-01-01,Западная,7,935
2024-01-01,Западная,8,1089
2024-01-01,Западная,9,1142
2024-01-01,Западная,10,1067
2024-01-01,Западная,11,608
2024-01-01,Западная,12,635
2024-01-01,Западная,13,565
2024-01-01,Западная,14,505
2024-01-01,Западная,15,545
2024-01-01,Западная,16,613
2024-01-01,Западная,17,974
2024-01-01,Западная,18,1104
2024-01-01,Западная,19,1124
2024-01-01,Западная,20,1074
2024-01-01,Западная,21,361
2024-01-01,Западная,22,357
2024-01-01,Западная,23,405
2024-01-01,Северная,0,154
2024-01-01,Северная,1,140
2024-01-01,Северная,2,140
2024-01-01,Северная,3,137
2024-01-01,Северная,4,158
2024-01-01,Северная,5,140
2024-01-01,Северная,6,146
2024-01-01,Северная,7,1216
2024-01-01,Северная,8,1081
2024-01-01,Северная,9,1121
2024-01-01,Северная,10,978
2024-01-01,Северная,11,561
2024-01-01,Северная,12,587
2024-01-01,Северная,13,635
2024-01-01,Северная,14,673
2024-01-01,Северная,15,614
2024-01-01,Северная,16,627
2024-01-01,Северная,17,1121
2024-01-01,Северная,18,1203
2024-01-01,Северная,19,1186
2024-01-01,Северная,20,1131
2024-01-01,Северная,21,339
2024-01-01,Северная,22,395
2024-01-01,Северная,23,380
2024-01-01,Южная,0,138
2024-01-01,Южная,1,125
2024-01-01,Южная,2,145
2024-01-01,Южная,3,122
2024-01-01,Южная,4,142
2024-01-01,Южная,5,127
2024-01-01,Южная,6,120
2024-01-01,Южная,7,827
2024-01-01,Южная,8,899
2024-01-01,Южная,9,1013
2024-01-01,Южная,10,969
2024-01-01,Южная,11,553
2024-01-01,Южная,12,425
2024-01-01,Южная,13,554
2024-01-01,Южная,14,548
2024-01-01,Южная,15,501
2024-01-01,Южная,16,498
2024-01-01,Южная,17,874
2024-01-01,Южная,18,995
2024-01-01,Южная,19,801
2024-01-01,Южная,20,845
2024-01-01,Южная,21,349
2024-01-01,Южная,22,303
2024-01-01,Южная,23,305
2024-01-01,Университет,0,199
2024-01-01,Университет,1,178
2024-01-01,Университет,2,201
2024-01-01,Университет,3,178
2024-01-01,Университет,4,212
2024-01-01,Университет,5,198
2024-01-01,Университет,6,234
2024-01-01,Университет,7,1799
2024-01-01,Университет,8,1952
2024-01-01,Университет,9,1576
2024-01-01,Университет,10,1742
2024-01-01,Университет,11,846
2024-01-01,Университет,12,940
2024-01-01,Университет,13,714
2024-01-01,Университет,14,890
2024-01-01,Университет,15,864
2024-01-01,Университет,16,926
2024-01-01,Университет,17,1395
2024-01-01,Университет,18,1325
2024-01-01,Университет,19,1264
2024-01-01,Университет,20,1188
2024-01-01,Университет,21,502
2024-01-01,Университет,22,487
2024-01-01,Университет,23,575
2024-01-01,Парк,0,111
2024-01-01,Парк,1,119
2024-01-01,Парк,2,102
2024-01-01,Парк,3,113
2024-01-01,Парк,4,119
2024-01-01,Парк,5,124
2024-01-01,Парк,6,130
